10087,171
15039,135
703,132
1407,132
22559,132
703,132
1055,130
2111,130
14695,130
1583,127
13503,127
15131,127
7279,125
12399,122
28671,122
7527,119
15055,119
17023,119
17647,119
18599,119
20175,119
27135,119
7963,117
11291,117
20895,117
26471,117
4255,114
21231,114
24091,114
28783,114
31343,114
6383,112
8959,112
12703,112
31847,112
13439,109
13551,109
19055,109
20967,109
21351,109
25535,109
27103,109
28923,109
31903,109
4591,106
20327,106
26623,106
27367,106
32027,106
6887,104
30491,104
30491,104
17691,101
18591,101
25407,101
1819,99
16551,99
17151,99
27,96
19903,96
25243,96
25727,96
26047,96
28583,96
31911,96
27,96
2047,94
6171,94
14559,94
17179,94
29855,94
30879,94
31,91
10919,91
18543,91
29935,91
31,91
47,88
63,88
3071,88
4263,88
6943,88
9183,88
9663,88
16379,88
19327,88
22779,88
24827,88
27815,88
28399,88
47,88
63,88
6395,86
13775,86
14495,86
27327,86
28863,86
28991,86
71,83
4095,83
10011,83
10331,83
13759,83
15519,83
18427,83
20095,83
21743,83
25627,83
27931,83
31039,83
71,83
2287,81
4347,81
6143,81
6471,81
7195,81
18943,81
23279,81
30143,81
30143,81
3399,78
4607,78
8359,78
9215,78
11263,78
11623,78
11931,78
20731,78
21787,78
23247,78
27519,78
28415,78
28831,78
31215,78
3431,75
4575,75
4891,75
6591,75
6911,75
12539,75
13823,75
16895,75
17435,75
17919,75
20639,75
31423,75
31743,75
91,73
10367,73
11391,73
13183,73
13423,73
20735,73
21607,73
23323,73
24511,73
26879,73
30463,73
30463,73
30959,73
91,73
1639,70
2151,70
2215,70
2751,70
5503,70
6811,70
7359,70
8127,70
8191,70
9887,70
11503,70
12447,70
13083,70
14107,70
15551,70
16155,70
16383,70
19567,70
19615,70
19775,70
20135,70
20159,70
22527,70
24903,70
25755,70
25927,70
28287,70
103,68
3323,68
4127,68
4303,68
9831,68
12191,68
12287,68
14831,68
17255,68
24575,68
24895,68
26239,68
26863,68
29423,68
30239,68
30239,68
30823,68
31167,68
103,68
155,65
447,65
2559,65
3175,65
3227,65
3943,65
5119,65
7887,65
7935,65
11039,65
14719,65
15871,65
17823,65
18175,65
18431,65
18671,65
20255,65
22247,65
23007,65
24607,65
25343,65
26271,65
28975,65
29663,65
155,65
447,65
671,63
1383,63
3739,63
3839,63
5915,63
10407,63
10879,63
11903,63
12135,63
18843,63
24271,63
24859,63
25063,63
26395,63
27647,63
28007,63
671,63
927,60
3631,60
3711,60
5151,60
6823,60
6863,60
7423,60
7679,60
8295,60
9631,60
16319,60
18203,60
25839,60
25883,60
27807,60
28315,60
28911,60
29351,60
31003,60
31231,60
927,60
871,57
1743,57
3567,57
4207,57
5147,57
5567,57
5759,57
6655,57
7167,57
8415,57
10235,57
10599,57
10911,57
11135,57
11519,57
13983,57
14847,57
15387,57
15471,57
16219,57
17855,57
19071,57
19695,57
21199,57
22043,57
23327,57
23807,57
26735,57
27887,57
27967,57
29439,57
29695,57
30399,57
30439,57
30399,57
30439,57
31103,57
871,57
1307,55
3951,55
6311,55
8351,55
8639,55
10239,55
10303,55
11175,55
14335,55
14959,55
15135,55
15899,55
17439,55
19483,55
20479,55
20975,55
21147,55
21531,55
22271,55
25327,55
26479,55
28607,55
29119,55
29543,55
31855,55
1695,52
2715,52
3823,52
4399,52
4863,52
5479,52
5791,52
7727,52
8679,52
9467,52
9727,52
9855,52
10479,52
10751,52
11515,52
12223,52
12527,52
12959,52
15359,52
16495,52
16539,52
17279,52
18247,52
19227,52
19611,52
21503,52
21663,52
24319,52
24987,52
26159,52
26783,52
29391,52
29511,52
30719,52
30751,52
31463,52
31519,52
111,50
223,50
1471,50
3099,50
7135,50
7295,50
8687,50
8943,50
11591,50
13543,50
14591,50
16127,50
17887,50
18075,50
18335,50
19263,50
21159,50
23039,50
23791,50
24223,50
24735,50
25919,50
28443,50
28519,50
30255,50
